topic_id	ref_id	s1	s2	anno_1	anno_2	anno_average
1	1.3.2	Gestaltet das lernen interaktiver und lebendiger, wodurch sich die Schüler die Inhalte besser merken können	Unterricht bleibt länger im Gedächtnis	3	3	3
1	1.2.1	Wenn Soziale Medien von Lehrern richtig benutzt werden, können sie die Unterrichtsqualität deutlich verbessern	Autor befürwortet die Nutzung von Twitter im Unterricht	1	0	0.5
1	1.3.4	Auch sei ein Verschließen gegenüber neuer Technik nicht Ziel eines modernen Schulsystems.	Auch schüchterne Schüler:innen werden ermutigt, ihre Meinungen zu äußern	0	0	0
1	1.3.1	Durch den Einsatz neuer Lehrplattformen steigt die Lernbereitschaft vieler Schüler, die mit den 'traditionellen' Lehrmitteln vielleicht nicht zufrieden waren	Unterricht ist abwechslungsreicher	1	1	1
1	1.3.4	Der Unterricht ist interessanter	Auch schüchterne Schüler:innen werden ermutigt, ihre Meinungen zu äußern	0	0	0
1	1.1.1	Soziale Medien im Unterricht	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	3	2	2.5
1	1.3.1	Die Benutzung von Twitter als Diskussionforum, erleichtert das Beteiligen der Schülern im Unterricht	Unterricht ist abwechslungsreicher	0	0	0
1	1.3.2	Soziale Netzwerke im Unterricht erlauben neue Diskussionsformen.	Unterricht bleibt länger im Gedächtnis	0	0	0
1	1.4.1	es liegt viele Lehrer, die auf das Internet mit Skepsis reagierten	Schüler:innen können leicht abgelenkt werden	0	1	0.5
1	1.3.6	Wer sich an zähe Deutschstunden erinnert, wird sich ausmalen können, wie produktiv ein solches textbasiertes Gespräch sein kann.	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.3.3	der positive Effekt von Twitter für die Gesprächkultur wurde von Psychologen bewiesen	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	1	0	0.5
1	1.1.1	die Verwendung von Twitter im Klassenzimmer	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	3	3	3
1	1.2.1	Sowie Bücher auch einmal akzeptiert worden sind, wird auch Social Media im Unterricht eindrängen	Autor befürwortet die Nutzung von Twitter im Unterricht	0	1	0.5
1	1.3.5	Wer sich an zähe Deutschstunden erinnert, wird sich ausmalen können, wie produktiv ein solches textbasiertes Gespräch sein kann.	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	0	0
1	1.3.3	er sagt, dass mit herkömmlicher Unterrichtsmethode viele Schüler nicht an Diskussionen beteiligt sind, während im Internet alle ihre Ideen äußern können	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	2	2	2
1	1.1.1	Die Verwendung dieses Mediums als akademisches Austauschforum bietet zahlreiche Vorteile, insbesondere eine stärkere Beteiligung von Schülern, die normalerweise im Unterricht geschwiegen hätten.	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	0	1	0.5
1	1.3.2	Die Tatsache, dass Lehrer ihre Schüler eher auf der Online-Plattform als persönlich einbeziehen können.	Unterricht bleibt länger im Gedächtnis	0	0	0
1	1.2.3	Soziale Netzwerke helfen Schülern sich den Stoff besser zu merken	Es liegt an den Lehrer:innen, die über Twitter geäußerten Inhalte auf nützlicher Art in den Unterricht zu integrieren	0	0	0
1	1.3.6	Die Schüler erinnern sich besser an das Material, wenn sie aktiv an der Diskussion teilnehmen, beispielsweise über Twitter.	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.3.6	Besser und abwechslungsreicher Unterricht	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.3.1	er nennt das praktische Beispiel, wo Twitter benutzt wurde, um die Kuba-Krise zu erklären und wo dies von den Schülern enthusiastisch aufgenommen wurde	Unterricht ist abwechslungsreicher	0	1	0.5
1	1.3.6	Größere Kreativität	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.4.1	Skepsis seitens der Lehrer gegenüber solche Methoden, besonders weil sie Schüler ablenken können	Schüler:innen können leicht abgelenkt werden	3	3	3
1	1.3.7	Die Tatsache, dass Lehrer ihre Schüler eher auf der Online-Plattform als persönlich einbeziehen können.	Angst vor Ablenkung ist nicht begündet, da auch Bücher ablenken können	0	0	0
1	1.2.3	Die positiven Effekte der Nutzung von Twitter im Unterrricht überwiegen eindeutlich.	Es liegt an den Lehrer:innen, die über Twitter geäußerten Inhalte auf nützlicher Art in den Unterricht zu integrieren	0	0	0
1	1.2.1	Einstatz von Twitter verbessert die Kommunikation im Klassenzimmer	Autor befürwortet die Nutzung von Twitter im Unterricht	1	1	1
1	1.4.1	Nur zwei Prozent der Lehrer in den Vereinigten Staaten hat angegeben, dass sie Twitter im Unterricht einsetzen würden	Schüler:innen können leicht abgelenkt werden	0	0	0
1	1.3.3	Kurze Antworten auf Twitter machen den Studenten Aussagen leichter	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	1	2	1.5
1	1.2.2	Der Autor behauptet, der Einsatz von sozialen Netzwerken im Unterricht sei für alle vorteilhaft, denn dadurch kann man beispielsweise das Verfassen von Texten in anderen, aktuellen Formaten üben (wie die 140 Zeichen eines Tweets).	Autor sieht in Twitter Chancen für innovative, konstruktive Unterrichtsmethoden	2	1	1.5
1	1.2.2	Laut dem Autor des Artikels kann die Verwendung von Twitter zur Popularisierung von Social Media als Lehrmittel beitragen, das so oft verwendet wird wie sogar Bücher.	Autor sieht in Twitter Chancen für innovative, konstruktive Unterrichtsmethoden	1	1	1
1	1.1.1	Online-Klassen	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	0	0	0
1	1.2.1	Internet und soziale Medien helfen den Unterricht lebendiger zu gestalten	Autor befürwortet die Nutzung von Twitter im Unterricht	1	1	1
1	1.3.5	Die Schüler müssen auch in sozialen Media Erfahrung sammeln	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	2	2	2
1	1.3.4	Einfach zu erreichen	Auch schüchterne Schüler:innen werden ermutigt, ihre Meinungen zu äußern	1	1	1
1	1.1.1	Die Integration von Social Media in den Unterricht am Beispiel von Twitter	Sollen soziale Netzwerke wie Twitter als Werkzeug im Schulunterricht benutzt werden?	3	3	3
1	1.3.2	Auch sei ein Verschließen gegenüber neuer Technik nicht Ziel eines modernen Schulsystems.	Unterricht bleibt länger im Gedächtnis	0	0	0
1	1.3.5	Durch die Beteiligung bleiben Lerninhalte länger im Gedächtnis.	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	0	0
1	1.4.1	Man kann leicht und schnell ablenken	Schüler:innen können leicht abgelenkt werden	3	3	3
1	1.3.7	Soziale Netzwerke im Unterricht erlauben neue Diskussionsformen.	Angst vor Ablenkung ist nicht begündet, da auch Bücher ablenken können	0	0	0
1	1.3.3	Dieser Ansatz es schüchternen Schülern leichter fällt, an der Diskussion teilzunehmen	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	1	1	1
1	1.3.6	Gelingt das, können damit auch sonst eher stille Schüler erreicht werden, würden, sich auf diese Weise an der Diskussion beteiligten.	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.3.2	Bücher im Unterricht können auch ablenken.	Unterricht bleibt länger im Gedächtnis	0	0	0
1	1.3.5	Die Schüler können einfacher lernen.	Pädagogen raten zur Auseinandersetzung mit dem medialen Wandel	0	0	0
1	1.4.1	es könnte zu einer Zerstreuung kommen	Schüler:innen können leicht abgelenkt werden	3	3	3
1	1.3.3	Bücher im Unterricht können auch ablenken.	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	0	0	0
1	1.3.3	bezieht sich auf die Aussagen und Geschichten anderer Personen	Nutzung von Twitter senkt die Hemmung vor aktiver Beteiligung am Unterricht	0	0	0
1	1.2.2	Der Autor glaubt, dass z.B. Twittern im Unterricht eine gute und vorteilhafte Lehrmethode ist und soll heftiger verwenden sein. Nach seiner Meingung nach, Twittern anstatt sprechen ermutigt auch die schüchtern Studenten, die normalerweise nichts gesagt hätte, ihrer Meinung zum ausdrücken.	Autor sieht in Twitter Chancen für innovative, konstruktive Unterrichtsmethoden	1	2	1.5
1	1.2.1	Lehrer sollten lernen, wie sie soziale Medien im Unterricht nutzten können	Autor befürwortet die Nutzung von Twitter im Unterricht	1	1	1
1	1.3.6	Auch sei ein Verschließen gegenüber neuer Technik nicht Ziel eines modernen Schulsystems.	Es gibt Erfolgsbeispiele für die Nutzung von Twitter im Unterricht, z.B. in den USA	0	0	0
1	1.3.2	Die Schüler profietieren von mehr interessanten Unterricht.	Unterricht bleibt länger im Gedächtnis	1	0	0.5
1	1.3.1	Die Schüler berichten von positiven Erfahrungen	Unterricht ist abwechslungsreicher	0	0	0
2	2.4.2	Längerer Schultag unbeliebt bei den Schülern	Mit späterem Schulanfang hört die Schule auch später auf	1	2	1.5
2	2.4.5	Die Kinder mussten im Dunkeln zur Schule gehen	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	2	1
2	2.4.2	Das Angebot an Mittagsversorgung und die Mittagspause.	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.3.4	In der Pubertät werden Schüler zu Spättypen, sie brauchen den Schlaf	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.4.4	späteres Anfangen bedeutet späteres Beenden des Schultages, was den Schülern natürlich nicht gefällt	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.5	Es würde weniger Freizeit am Nachmittag zur Verfügung stehen, was nicht beliebt ist	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	0	0
2	2.3.4	Verbessert die Konzentration. Die Leistung der Schüler ist besser.	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.4.5	Student:innen bevorzugen es, den Nachmittag frei zu haben.	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	0	0
2	2.4.2	Ein späterer Schulbeginn bedeutet, dass Nachmittags auch noch gearbeitet wird	Mit späterem Schulanfang hört die Schule auch später auf	2	2	2
2	2.3.1	in der Pubertät verändert sich die innere Uhr bei vielen Menschen in Richtung Spättyp (sie werden abends später müde, schlafen später ein, brauchen morgens länger Schlaf, um physiologischen Schlafbedarf zu decken)	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	3	2	2.5
2	2.3.4	Wenig schlaf schraenkt die Leistungsfaehigkeit	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.4	Sie verbessern Ihre Konzentration in der Schule	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.3	Schüler wünschen sich, später auf zu stehen	US-Studie zeigt Vorteile des späteren Schulanfangs	0	0	0
2	2.3.4	Pubertäre Schüler sind später Leistungsfähiger	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.1	Konzentration verbessert sich	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	1	1	1
2	2.3.4	Innere Uhr verändert sich in der Pubertät, man wird später müde	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.2	Experiment in Seattle (Schulstart 8.45) zeigt, SuS schlafen durchschnittlich 34 Minuten länger, hatten bessere Leistungen und gerinere Fehlzeiten	Schlafmangel hat einen negativen Einfluss auf die Konzentration und Schulleistung	1	0	0.5
2	2.4.3	Die Kinder mussten im Dunkeln zur Schule gehen	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	0	0	0
2	2.4.2	Im Winter, wenn es früher dunkel wird, müssten die Schüler länger ohne Sonne und helles Licht bleiben.	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.3.3	In der Pubertät neigen Jugendliche dazu "Spättypen" zu werden.	US-Studie zeigt Vorteile des späteren Schulanfangs	0	0	0
2	2.4.5	Die Schüler sollten nach der Mittagspause noch mal Unterricht machen.	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	0	0
2	2.4.4	SuS wären länger in der Schule --> freier Nachmittag ist ihnen wichtiger, als spätes Aufstehen	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.5	Schule würde später Enden	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	0	0
2	2.1.1	ob man die Schule nicht später anfangen sollte	Soll die Schule morgens später anfangen?	4	4	4
2	2.3.4	der Schlafmangel mindert Leistungsfähigkeit	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.1	Verbesserte Leistungen	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	1	1	1
2	2.3.3	Konzentration verbessert sich	US-Studie zeigt Vorteile des späteren Schulanfangs	0	0	0
2	2.4.2	Die Schüler wollen zwar spät anfangen, aber auch früh aufhöhren und beides geht nicht.	Mit späterem Schulanfang hört die Schule auch später auf	1	2	1.5
2	2.1.1	Ist es sinnvoller, wenn die Schule statt um 8 Uhr erst um 8.45 oder 9 Uhr anfängt?	Soll die Schule morgens später anfangen?	3	2	2.5
2	2.4.5	Verschiedene Schulstartuhrzeiten würde zu Problemen mit den Schulbussen führen	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	0	0
2	2.4.4	Schüler werden abends später müde und brauchen morgens mehr Schlaf.	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.4	Die Schüler sollten den Nachmittag über aktiv bleiben, damit sie früh schlafen können	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.3.4	Die Schüler haben deswegen bessere Noten, und kommen wehniger zu spät.	Bei späterem Schulbeginn können Fehlzeiten weniger werden	2	2	2
2	2.3.3	Da der Unterricht später beginnt, kommen weniger Leute zu spät zur Schule.	US-Studie zeigt Vorteile des späteren Schulanfangs	0	0	0
2	2.4.3	Nicht jeder braucht eine solche Verlängerung des Schlafes.	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	0	0	0
2	2.4.3	Es kann chaotisch sein, den Fahrplan der Schulbusse zu organisieren, wenn die Schulen unterschiedliche Startzeiten haben.	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	0	0	0
2	2.4.1	der Schultag würde länger gehen und den Schulkindern ist ein freier Nachmittag wichtiger	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.1.1	die Zeit, denen die Jugendschule beginnen soll	Soll die Schule morgens später anfangen?	1	2	1.5
2	2.4.4	In den Wintermonaten gibt es ein Problem - in diese Zeit das Auge weniger dem Sonnenlicht ausgesetzt ist.	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.2	1 bis 6 Klässler haben sich in einer Studie gegen den späteren freien Nachmittag ausgesprochen	Mit späterem Schulanfang hört die Schule auch später auf	1	0	0.5
2	2.3.1	ein Tipp für jugendlicher ist, das Zu Fuß zur Schule gehen, damit Gehirn aktiv zu sein	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	0	0	0
2	2.3.1	Mit dem späteren Schulbeginn haben die Schüler mehr Zeit zum Schlafen, wodurch sich ihre Leistung verbessert und die Fehlzeiten verringert werden	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	2	2	2
2	2.4.2	Nachmittags länger in der Schule bleiben	Mit späterem Schulanfang hört die Schule auch später auf	1	2	1.5
2	2.3.4	Schüler können sich besser konzentrieren.	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.3.4	Jede Organismus ist anders, manche Leute sind Frühtypen - stehen früher auf und daswegen Abends sind früher müde und können früh Problemos schlafen gehen. Aber andere Leute können so früh wie Frühtypen einfach nicht einschlafen, also am Morgen brauchen mehr Zeit zu schlafen, können aber nicht, weil sie auch um 8 Uhr die Unterrichten anfangen, und deswegen sind müde, können sich auf die Lektion nicht konzetrieren und dass zur schlechter Schulnoten führen.	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.4.3	Im Winter, wenn es früher dunkel wird, müssten die Schüler länger ohne Sonne und helles Licht bleiben.	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	0	0	0
2	2.4.5	mit dem Handy auf dem Sofa abzuhängen	Tageslicht hat einen größeren Einfluss auf die Leistungsfähigkeit als die Uhrzeit des Schulbeginns	0	1	0.5
2	2.3.3	Studien haben gezeigt dass mehr Schlaf bessere Leistungen erbringt und Schüler weniger Fehlstunden machen.	US-Studie zeigt Vorteile des späteren Schulanfangs	2	3	2.5
2	2.4.1	Die Schüler wollen lieber früh schluss haben als spät anfangen.	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.4.1	Schueler koennten nicht mit dem Bus zur Schule	Umstellung der Schulbusse auf dem Land wäre problematisch	2	3	2.5
2	2.3.1	Nach einer Studie in Seattle(USA) schliefen Schüler durchschnittlich 34 Minuten länger, ihre Leistungen verbesserten sich und die Fehlzeiten waren geringer.	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	0	0	0
2	2.4.2	Der Zeitunterschied zwischen den Städten und dem Schulbeginn wird Probleme verursachen. Wenn Sie zu einem anderen Zeitpunkt beginnen, wird die Gesamtdauer der Schulstunden verkürzt.	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.4.4	Die Schüler wollen zwar spät anfangen, aber auch früh aufhöhren und beides geht nicht.	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.3	Busprobleme	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	0	0	0
2	2.4.1	Längerer Schultag unbeliebt bei den Schülern	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.1.1	Macht es Sinn, dass die Schule später beginnt?	Soll die Schule morgens später anfangen?	4	3	3.5
2	2.3.4	das frühe Aufstehen zur Schulzeit sei eine Qual	Bei späterem Schulbeginn können Fehlzeiten weniger werden	0	0	0
2	2.1.1	Diskussion ob die Schule später (nicht um 8 Uhr morgens) anfangen sollte	Soll die Schule morgens später anfangen?	3	4	3.5
2	2.4.3	Der freie Nachmittag ist den Schülern noch wichtiger, als das späte Aufstehen.	Schüler:innen hätten weniger Freizeit am Nachmittag zur Verfügung	2	3	2.5
2	2.4.4	Wenn einige Schüler später zur Schule gehen wollten, würde dies den Schulbussen Probleme bereiten.	Schulen müssten bei späteren Schulzeiten Mittagsversorgung anbieten	0	0	0
2	2.4.1	Das Schulprogramm müsste dann die Mittagspause beinhalten und die Scule müsste das Mittagsessen für alle Schüler versorgen.	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.3.1	bekommt erst große Zustimmung	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	0	0	0
2	2.4.2	Student:innen bevorzugen es, den Nachmittag frei zu haben.	Mit späterem Schulanfang hört die Schule auch später auf	1	1	1
2	2.4.1	Der Unterschied zwischen der Zeit macht die Jugend kann Verzögerungen für das Mittagessen haben	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.4.2	Ein späterer Schulbeginn würde womöglich eine Mittagsbetreuung notwendig machen	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.4.1	Spätere Lektionen sind kürzere freie Nachmittage für Schüler.	Umstellung der Schulbusse auf dem Land wäre problematisch	0	0	0
2	2.4.2	Mittagsversorgung müsste angeboten werden	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.4.2	Mit der Zeitumstellung im Winter ist ein späterer Schulanfang nicht notwendig.	Mit späterem Schulanfang hört die Schule auch später auf	0	0	0
2	2.3.1	Der Schlafmangel schränkt die Leistung der Schüler ein und beeinflusst so ihre Stimmung negativ	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	1	1	1
2	2.3.1	In der Pubertät werden Schüler zu Spättypen, sie brauchen den Schlaf	In der Pubertät werden viele Jugendliche zu Spättypen und brauchen morgens länger Schlaf	4	4	4
3	3.4.6	andere Länder haben bereits durch Änderungen im Lehrplan reagiert	Bei Zusammenschluss von Fächern gibt es zu wenig Zeit für jedes einzelne Fach	0	0	0
3	3.1.2	Einführung eines eigenen Schulfaches zum Thema Klimawandel?	Wie soll man aktuelle Themen wie den Klimawandel in den Schulunterricht integrieren?	0	2	1
3	3.4.6	Häufig werden Themen wie der Klimawandel erst in der Oberstufe unterrichtet und erreichen somit nicht alle Schüler*innen	Bei Zusammenschluss von Fächern gibt es zu wenig Zeit für jedes einzelne Fach	0	0	0
3	3.2.2	Klimawandel ist das größte Problem der Menschheit, deshalb braucht es umfassende Bildung und Wissen zu dessen Auswirkungen	Klimawandel soll in fachübergreifenden Projekten behandelt werden	0	0	0
3	3.4.3	man sollte derzeitige Probleme schon im Unterricht einbinden, aber nicht komplett verwerfen	Andere Staaten wie Italien führen eigenes Schulfach über Klimawandel ein	0	0	0
3	3.4.6	Klimawandel wird nicht ausreichend im Erdkundeunterricht behandelt	Bei Zusammenschluss von Fächern gibt es zu wenig Zeit für jedes einzelne Fach	0	0	0
3	3.3.1	verschiedene Aspekte zusammen unterrichten	Lehrpläne sind bereits überladen	0	0	0
3	3.2.1	sieht eine zusammenführung durch mehrere bestehenden Fächern vor	Es soll kein eigenes Schulfach über den Klimawandel geben	0	0	0
3	3.3.3	Klimawandel, Umweltverschmutzung und globale Strukturen werden bereits oder sollten im Erdkundeunterricht behandelt werden	Mit Erdkunde gibt es bereits ein Fach über Klimawandel	3	4	3.5
3	3.3.2	Der Autor ist der Meinung, dass die richtig organisierte Vereinigung von Schulfächern viele Vorteile hat.	Es kann nicht für jedes gesellschaflich wichtiges Thema ein eigenes Schulfach eingeführt werden	0	0	0
3	3.2.1	dafür sollen jedoch keine eigenen Fächer/ mehr Platz im Lehrplan entwickelt werden, sondern es soll im Fach Erdkunde eingebettet werden	Es soll kein eigenes Schulfach über den Klimawandel geben	2	2	2
3	3.4.1	Klimawandel meist erst in Oberstufe auf dem Lernplan, da ist Erdkunde in der Regel abwählbar und es isr sehr wahrscheinlich, dass viele Kinder während ihrer Schulzeit das Thema nie behandeln	Lehrpläne müssen sich gesellschaftlichen und wissenschaftlichen Erkenntnissen anpassen	0	0	0
3	3.3.2	Es ist eine bessere Alternative, als einfach neue Schulfächer zu schaffen, da die es politisch gerade populärer oder brisanter ist.	Es kann nicht für jedes gesellschaflich wichtiges Thema ein eigenes Schulfach eingeführt werden	1	2	1.5
3	3.3.3	Es sollten sich auch ältere Menschen in der Gesellschaft, die nicht mehr in die Schule gehen, mit solchen Themen auseinandersetzen und es nicht nur auf die jüngeren in den Schulen abwälzen.	Mit Erdkunde gibt es bereits ein Fach über Klimawandel	0	0	0
3	3.3.6	aufgrund begrenzter Stunden sollte die Bedeutung einzelner Fächer nicht umgewichtet werden; auch andere Themen, die in anderen Fächern behandelt werden, sind wichtig	Durch Zusammenschluss von Fächern können komplexe gesellschaftliche Themen vielseitiger behandelt werden	0	0	0
3	3.4.6	Erdkunde ist in der Oberstufe, wo das Thema behandelt wird, nicht verpflichtend	Bei Zusammenschluss von Fächern gibt es zu wenig Zeit für jedes einzelne Fach	0	0	0
3	3.4.3	Die Einführung eines neuen Fachs wäre zu viel für die Schulstunden, außerdem wird die Geographie sehr wenig und sehr m behandelt	Andere Staaten wie Italien führen eigenes Schulfach über Klimawandel ein	0	0	0
3	3.2.1	Schüler wissen nicht genug über den Klimawandel	Es soll kein eigenes Schulfach über den Klimawandel geben	0	0	0
3	3.1.1	Die Bedeutung der Geographie	Soll das Thema Klimawandel in einem eigenen Schulfach unterrichtet werden?	0	0	0
3	3.3.2	Studenten sollten ein vernünftiges Programm haben	Es kann nicht für jedes gesellschaflich wichtiges Thema ein eigenes Schulfach eingeführt werden	0	0	0
3	3.1.2	Die Bedeutung der Geographie	Wie soll man aktuelle Themen wie den Klimawandel in den Schulunterricht integrieren?	0	0	0
3	3.3.3	Es ist doof, für jedes gesellschaftliche Problem von Finanzkrise über Ernährung bis Klimawandel je neue Schulfächer zu fordern.	Mit Erdkunde gibt es bereits ein Fach über Klimawandel	0	0	0
3	3.3.4	das zusammenführen mehrere Fächer	Gesellschaftliche Probleme können nicht auf Schulen abgewälzt werden	0	0	0
